RowIndex,EncryptTimeTotal,AdditionTime,DecryptionTime,PlaintextSize,CiphertextSize,ExpansionRatio,InitialNoise,NoiseAfterAddition
225,1.9073486328125e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,8.2088033,32.8352132
226,1.6689300537109375e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,8.2775184,33.1100736
227,1.9073486328125e-06,9.5367431640625e-07,9.5367431640625e-07,184,184,1.0,8.0823508,32.3294032
228,1.9073486328125e-06,9.5367431640625e-07,9.5367431640625e-07,184,184,1.0,7.4889329,29.9557316
229,1.6689300537109375e-06,1.1920928955078125e-06,1.430511474609375e-06,184,184,1.0,7.5497288,30.1989152
230,1.430511474609375e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,8.073935,32.29574
231,1.430511474609375e-06,9.5367431640625e-07,9.5367431640625e-07,184,184,1.0,8.0894046,32.3576184
232,1.1920928955078125e-06,9.5367431640625e-07,9.5367431640625e-07,184,184,1.0,8.1353769,32.5415076
233,1.9073486328125e-06,1.430511474609375e-06,9.5367431640625e-07,184,184,1.0,8.0463737,32.1854948
234,1.6689300537109375e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,7.8568281,31.4273124
235,1.6689300537109375e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,7.9830535,31.932214
236,1.430511474609375e-06,1.430511474609375e-06,9.5367431640625e-07,184,184,1.0,8.2589658,33.0358632
237,1.6689300537109375e-06,1.430511474609375e-06,1.1920928955078125e-06,184,184,1.0,8.1752483,32.7009932
238,1.6689300537109375e-06,9.5367431640625e-07,1.430511474609375e-06,184,184,1.0,7.749813400000001,30.999253600000003
239,1.9073486328125e-06,1.430511474609375e-06,9.5367431640625e-07,184,184,1.0,8.0419642,32.1678568
